timestamp,intersection,vehicle_count,average_speed,congestion_level,wait_time
2026-01-21 16:45:28.658803,Intersection-1,22,38,Medium,37
2026-01-21 16:45:28.658824,Intersection-2,25,24,Medium,43
2026-01-21 16:45:28.658835,Intersection-3,9,43,Low,8
2026-01-21 16:45:28.658842,Intersection-4,27,47,High,128
2026-01-21 16:45:29.670397,Intersection-1,23,43,Medium,47
2026-01-21 16:45:29.670411,Intersection-2,27,24,High,64
2026-01-21 16:45:29.670419,Intersection-3,4,46,Low,8
2026-01-21 16:45:29.670425,Intersection-4,32,41,High,101
2026-01-21 16:45:30.673073,Intersection-1,20,41,Medium,33
2026-01-21 16:45:30.673097,Intersection-2,22,25,Medium,86
2026-01-21 16:45:30.673108,Intersection-3,0,41,Low,32
2026-01-21 16:45:30.673118,Intersection-4,32,48,High,63
2026-01-21 16:45:31.675345,Intersection-1,20,47,Medium,90
2026-01-21 16:45:31.675371,Intersection-2,27,29,High,169
2026-01-21 16:45:31.675375,Intersection-3,0,35,Low,22
2026-01-21 16:45:31.675377,Intersection-4,31,54,High,152
2026-01-21 16:45:32.676861,Intersection-1,20,46,Medium,39
2026-01-21 16:45:32.676885,Intersection-2,26,28,High,92
2026-01-21 16:45:32.676896,Intersection-3,0,37,Low,30
2026-01-21 16:45:32.676904,Intersection-4,35,54,High,72
2026-01-21 16:45:33.679545,Intersection-1,22,46,Medium,34
2026-01-21 16:45:33.679557,Intersection-2,30,25,High,69
2026-01-21 16:45:33.679562,Intersection-3,0,38,Low,32
2026-01-21 16:45:33.679566,Intersection-4,33,60,High,137
2026-01-21 16:45:34.681075,Intersection-1,21,49,Medium,34
2026-01-21 16:45:34.681095,Intersection-2,32,31,High,78
2026-01-21 16:45:34.681102,Intersection-3,0,38,Low,39
2026-01-21 16:45:34.681107,Intersection-4,37,60,High,129
2026-01-21 16:45:35.683940,Intersection-1,26,43,High,139
2026-01-21 16:45:35.683949,Intersection-2,35,33,High,165
2026-01-21 16:45:35.683954,Intersection-3,5,33,Medium,32
2026-01-21 16:45:35.683961,Intersection-4,39,59,High,154
2026-01-21 16:45:36.685518,Intersection-1,24,43,Medium,42
2026-01-21 16:45:36.685537,Intersection-2,38,27,High,124
2026-01-21 16:45:36.685542,Intersection-3,0,29,Medium,33
2026-01-21 16:45:36.685546,Intersection-4,40,59,High,146
2026-01-21 16:45:37.687222,Intersection-1,21,42,Medium,63
2026-01-21 16:45:37.687233,Intersection-2,41,31,High,150
2026-01-21 16:45:37.687239,Intersection-3,0,34,Medium,89
2026-01-21 16:45:37.687243,Intersection-4,37,53,High,124
2026-01-21 16:45:38.688707,Intersection-1,25,36,Medium,74
2026-01-21 16:45:38.688720,Intersection-2,39,36,High,110
2026-01-21 16:45:38.688726,Intersection-3,4,30,Medium,64
2026-01-21 16:45:38.688730,Intersection-4,32,56,High,105
2026-01-21 16:45:39.690165,Intersection-1,21,31,Medium,73
2026-01-21 16:45:39.690180,Intersection-2,39,40,High,106
2026-01-21 16:45:39.690186,Intersection-3,8,36,Low,6
2026-01-21 16:45:39.690191,Intersection-4,37,48,High,126
2026-01-21 16:45:40.691798,Intersection-1,23,38,Medium,85
2026-01-21 16:45:40.691811,Intersection-2,42,41,High,112
2026-01-21 16:45:40.691816,Intersection-3,8,40,Low,7
2026-01-21 16:45:40.691822,Intersection-4,39,40,High,173
2026-01-21 16:45:41.693882,Intersection-1,28,32,High,111
2026-01-21 16:45:41.693895,Intersection-2,44,49,High,110
2026-01-21 16:45:41.693900,Intersection-3,5,48,Low,40
2026-01-21 16:45:41.693905,Intersection-4,34,46,High,78
2026-01-21 16:45:42.695482,Intersection-1,25,28,Medium,55
2026-01-21 16:45:42.695492,Intersection-2,42,44,High,74
2026-01-21 16:45:42.695495,Intersection-3,2,48,Low,29
2026-01-21 16:45:42.695498,Intersection-4,32,53,High,65
2026-01-21 16:45:43.696887,Intersection-1,25,20,Medium,63
2026-01-21 16:45:43.696901,Intersection-2,44,44,High,155
2026-01-21 16:45:43.696931,Intersection-3,0,40,Low,12
2026-01-21 16:45:43.696938,Intersection-4,36,55,High,110
2026-01-21 16:45:44.699169,Intersection-1,28,17,High,107
2026-01-21 16:45:44.699197,Intersection-2,43,39,High,167
2026-01-21 16:45:44.699204,Intersection-3,0,45,Low,26
2026-01-21 16:45:44.699209,Intersection-4,38,55,High,152
2026-01-21 16:45:45.701093,Intersection-1,26,24,High,128
2026-01-21 16:45:45.701105,Intersection-2,43,41,High,164
2026-01-21 16:45:45.701111,Intersection-3,2,45,Low,14
2026-01-21 16:45:45.701117,Intersection-4,41,49,High,122
2026-01-21 16:45:46.702880,Intersection-1,21,24,Medium,32
2026-01-21 16:45:46.702889,Intersection-2,41,38,High,111
2026-01-21 16:45:46.702894,Intersection-3,0,43,Low,16
2026-01-21 16:45:46.702897,Intersection-4,44,52,High,126
2026-01-21 16:45:47.705472,Intersection-1,18,25,Medium,64
2026-01-21 16:45:47.705486,Intersection-2,40,31,High,60
2026-01-21 16:45:47.705489,Intersection-3,0,39,Low,33
2026-01-21 16:45:47.705491,Intersection-4,42,59,High,103
2026-01-21 16:45:48.706496,Intersection-1,20,18,High,152
2026-01-21 16:45:48.706506,Intersection-2,43,25,High,63
2026-01-21 16:45:48.706511,Intersection-3,0,40,Low,23
2026-01-21 16:45:48.706516,Intersection-4,40,60,High,158
2026-01-21 16:45:49.707553,Intersection-1,24,13,High,124
2026-01-21 16:45:49.707572,Intersection-2,38,30,High,72
2026-01-21 16:45:49.707582,Intersection-3,2,42,Low,29
2026-01-21 16:45:49.707591,Intersection-4,41,55,High,122
2026-01-21 16:45:50.710640,Intersection-1,26,15,High,143
2026-01-21 16:45:50.710652,Intersection-2,38,24,High,100
2026-01-21 16:45:50.710658,Intersection-3,1,41,Low,40
2026-01-21 16:45:50.710662,Intersection-4,41,48,High,126
2026-01-21 16:45:51.712435,Intersection-1,25,15,High,93
2026-01-21 16:45:51.712463,Intersection-2,41,31,High,133
2026-01-21 16:45:51.712473,Intersection-3,1,45,Low,33
2026-01-21 16:45:51.712479,Intersection-4,40,45,High,93
2026-01-21 16:45:52.714804,Intersection-1,25,17,High,152
2026-01-21 16:45:52.714816,Intersection-2,40,28,High,119
2026-01-21 16:45:52.714822,Intersection-3,0,41,Low,35
2026-01-21 16:45:52.714828,Intersection-4,43,45,High,105
2026-01-21 16:45:53.716397,Intersection-1,24,19,High,84
2026-01-21 16:45:53.716408,Intersection-2,40,31,High,143
2026-01-21 16:45:53.716414,Intersection-3,0,38,Low,19
2026-01-21 16:45:53.716419,Intersection-4,42,50,High,114
2026-01-21 16:45:54.718272,Intersection-1,21,22,Medium,67
2026-01-21 16:45:54.718284,Intersection-2,38,27,High,165
2026-01-21 16:45:54.718289,Intersection-3,0,42,Low,16
2026-01-21 16:45:54.718293,Intersection-4,41,52,High,156
2026-01-21 16:45:55.720047,Intersection-1,22,28,Medium,39
2026-01-21 16:45:55.720074,Intersection-2,41,23,High,87
2026-01-21 16:45:55.720080,Intersection-3,0,45,Low,35
2026-01-21 16:45:55.720084,Intersection-4,44,54,High,95
2026-01-21 16:45:56.722236,Intersection-1,20,31,Medium,39
2026-01-21 16:45:56.722243,Intersection-2,43,29,High,131
2026-01-21 16:45:56.722246,Intersection-3,5,40,Low,10
2026-01-21 16:45:56.722250,Intersection-4,42,47,High,174
2026-01-21 16:45:57.723124,Intersection-1,22,37,Medium,62
2026-01-21 16:45:57.723242,Intersection-2,38,37,High,117
2026-01-21 16:45:57.723247,Intersection-3,0,45,Low,32
2026-01-21 16:45:57.723251,Intersection-4,44,43,High,106
2026-01-21 16:45:58.724380,Intersection-1,24,36,Medium,90
2026-01-21 16:45:58.724391,Intersection-2,36,32,High,95
2026-01-21 16:45:58.724396,Intersection-3,0,47,Low,11
2026-01-21 16:45:58.724400,Intersection-4,45,39,High,146
2026-01-21 16:45:59.726072,Intersection-1,26,42,High,162
2026-01-21 16:45:59.726081,Intersection-2,36,35,High,106
2026-01-21 16:45:59.726086,Intersection-3,1,41,Low,35
2026-01-21 16:45:59.726089,Intersection-4,50,34,High,149
2026-01-21 16:46:00.727927,Intersection-1,23,49,Medium,85
2026-01-21 16:46:00.728058,Intersection-2,36,27,High,170
2026-01-21 16:46:00.728073,Intersection-3,2,39,Low,11
2026-01-21 16:46:00.728083,Intersection-4,53,37,High,85
2026-01-21 16:46:01.730050,Intersection-1,26,41,High,65
2026-01-21 16:46:01.730066,Intersection-2,39,31,High,65
2026-01-21 16:46:01.730074,Intersection-3,2,31,Medium,90
2026-01-21 16:46:01.730081,Intersection-4,48,42,High,150
2026-01-21 16:46:02.733778,Intersection-1,29,33,High,86
2026-01-21 16:46:02.733791,Intersection-2,42,34,High,100
2026-01-21 16:46:02.733796,Intersection-3,5,31,Medium,84
2026-01-21 16:46:02.733801,Intersection-4,49,41,High,125
